gid,geom,cod_pcia,cod_depto,nom_depto,cod_ase,nombre,tipo,cod_aglo,nom_aglo,cod_agl,nom_agl,lat_gd,long_gd,lat_gs,long_gs,fuente
"728",MULTIPOINT(-60.0702181834916 -35.1099999752396),"06",Buenos Aires,Alberti,"06021050",Villa Grisolía,Localidad simple,"2120",Villa Grisolía (Est. Achupallas),"060021",Alberti,"-35.110000","-60.070218","-35º 6'36""","-60º 4'13""",INDEC
"729",MULTIPOINT(-60.3474804806501 -34.8882250272161),"06",Buenos Aires,Alberti,"06021060",Villa María,Localidad simple,"2158",Villa María,"060021",Alberti,"-34.888225","-60.347480","-34º53'18""","-60º20'51""",INDEC
"730",MULTIPOINT(-60.3063011463663 -34.8445367882073),"06",Buenos Aires,Alberti,"06021070",Villa Ortiz,Localidad simple,"1216",Villa Ortiz (Est. Coronel Mom),"060021",Alberti,"-34.844537","-60.306301","-34º50'40""","-60º18'23""",INDEC
"736",MULTIPOINT(-58.3843296272883 -34.7980138402282),"06",Buenos Aires,Almirante Brown,"06028010",Almirante Brown,Componente de localidad compuesta,"0001",Gran Buenos Aires,"060028",Almirante Brown,"-34.798014","-58.384330","-34º47'53""","-58º23' 4""",INDEC
"737",MULTIPOINT(-58.3651668560089 -34.6626945099355),"06",Buenos Aires,Avellaneda,"06035010",Avellaneda,Componente de localidad compuesta,"0001",Gran Buenos Aires,"060035",Avellaneda,"-34.662695","-58.365167","-34º39'46""","-58º21'55""",INDEC
"738",MULTIPOINT(-58.4883791747028 -37.1527609912759),"06",Buenos Aires,Ayacucho,"06042010",Ayacucho,Localidad simple,"0183",Ayacucho,"060042",Ayacucho,"-37.152761","-58.488379","-37º 9'10""","-58º29'18""",INDEC
"739",MULTIPOINT(-58.7601044130598 -37.2263465989733),"06",Buenos Aires,Ayacucho,"06042020",La Constancia,Localidad simple,"2159",La Constancia,"060042",Ayacucho,"-37.226347","-58.760104","-37º13'35""","-58º45'36""",INDEC
"740",MULTIPOINT(-58.5081675690146 -36.8428748553363),"06",Buenos Aires,Ayacucho,"06042030",Solanet,Localidad simple,"2162",Solanet,"060042",Ayacucho,"-36.842875","-58.508168","-36º50'34""","-58º30'29""",INDEC
"741",MULTIPOINT(-58.5346963188253 -36.5623679036851),"06",Buenos Aires,Ayacucho,"06042040",Udaquiola,Localidad simple,"2163",Udaquiola,"060042",Ayacucho,"-36.562368","-58.534696","-36º33'45""","-58º32' 5""",INDEC
"770",MULTIPOINT(-59.921751903635 -36.5314223000046),"06",Buenos Aires,Azul,"06049010",Ariel,Localidad simple,"5028",Ariel,"060049",Azul,"-36.531422","-59.921752","-36º31'53""","-59º55'18""",INDEC
"771",MULTIPOINT(-59.8634430458016 -36.777446999956),"06",Buenos Aires,Azul,"06049020",Azul,Localidad simple,"0057",Azul,"060049",Azul,"-36.777447","-59.863443","-36º46'39""","-59º51'48""",INDEC
"772",MULTIPOINT(-59.5046042167331 -36.3766730053896),"06",Buenos Aires,Azul,"06049030",Cacharí,Localidad simple,"0599",Cacharí,"060049",Azul,"-36.376673","-59.504604","-36º22'36""","-59º30'17""",INDEC
"773",MULTIPOINT(-59.985165666911 -37.3128038441293),"06",Buenos Aires,Azul,"06049040",Chillar,Localidad simple,"0663",Chillar,"060049",Azul,"-37.312804","-59.985166","-37º18'46""","-59º59' 7""",INDEC
"774",MULTIPOINT(-60.1646533455059 -37.2005149676994),"06",Buenos Aires,Azul,"06049050",16 de Julio,Localidad simple,"2112",16 de julio,"060049",Azul,"-37.200515","-60.164653","-37º12' 2""","-60º 9'53""",INDEC
"804",MULTIPOINT(-62.2654469343276 -38.7176050908517),"06",Buenos Aires,Bahía Blanca,"06056010",Bahía Blanca,Localidad simple,"0014",Bahía Blanca,"060056",Bahía Blanca,"-38.717605","-62.265447","-38º43' 3""","-62º15'56""",INDEC
"805",MULTIPOINT(-61.8937521627044 -38.4851528833332),"06",Buenos Aires,Bahía Blanca,"06056020",Cabildo,Localidad simple,"0730",Cabildo,"060056",Bahía Blanca,"-38.485153","-61.893752","-38º29' 7""","-61º53'38""",INDEC
"806",MULTIPOINT(-62.3953089757156 -38.7193655455279),"06",Buenos Aires,Bahía Blanca,"06056030",General Daniel Cerri,Localidad simple,"0376",General Daniel Cerri (Est. General Cerri),"060056",Bahía Blanca,"-38.719366","-62.395309","-38º43'10""","-62º23'43""",INDEC
"820",MULTIPOINT(-58.2554911688579 -37.8463826227702),"06",Buenos Aires,Balcarce,"06063010",Balcarce,Localidad simple,"0077",Balcarce,"060063",Balcarce,"-37.846383","-58.255491","-37º50'47""","-58º15'20""",INDEC
"821",MULTIPOINT(-58.3242767397677 -37.9427097517635),"06",Buenos Aires,Balcarce,"06063020",Los Pinos,Localidad simple,"2013",Los Pinos,"060063",Balcarce,"-37.942710","-58.324277","-37º56'34""","-58º19'27""",INDEC
"822",MULTIPOINT(-58.7463685072656 -37.6230706699026),"06",Buenos Aires,Balcarce,"06063030",Napaleofú,Localidad simple,"2071",Napaleufú,"060063",Balcarce,"-37.623071","-58.746369","-37º37'23""","-58º44'47""",INDEC
"823",MULTIPOINT(-58.3406051189223 -37.5408949196846),"06",Buenos Aires,Balcarce,"06063040",Ramos Otero,Localidad simple,"5008",Ramos Otero,"060063",Balcarce,"-37.540895","-58.340605","-37º32'27""","-58º20'26""",INDEC
"824",MULTIPOINT(-58.3559342499123 -38.014111278487),"06",Buenos Aires,Balcarce,"06063050",San Agustín,Localidad simple,"1573",San Agustín,"060063",Balcarce,"-38.014111","-58.355934","-38º 0'51""","-58º21'21""",INDEC
"825",MULTIPOINT(-57.9810120239183 -37.8612230791642),"06",Buenos Aires,Balcarce,"06063060",Villa Laguna La Brava,Localidad simple,"2128",Villa Laguna La Brava,"060063",Balcarce,"-37.861223","-57.981012","-37º51'40""","-57º58'52""",INDEC
"861",MULTIPOINT(-59.5022278347215 -33.8070727746487),"06",Buenos Aires,Baradero,"06070010",Baradero,Localidad simple,"0111",Baradero,"060070",Baradero,"-33.807073","-59.502228","-33º48'25""","-59º30' 8""",INDEC
"862",MULTIPOINT(-59.6701217083133 -33.9798303828433),"06",Buenos Aires,Baradero,"06070020",Irineo Portela,Localidad simple,"2022",Irineo Portela,"060070",Baradero,"-33.979830","-59.670122","-33º58'47""","-59º40'12""",INDEC
"863",MULTIPOINT(-59.5602159639334 -34.0608712353202),"06",Buenos Aires,Baradero,"06070030",Santa Coloma,Localidad simple,"2119",Santa Coloma,"060070",Baradero,"-34.060871","-59.560216","-34º 3'39""","-59º33'37""",INDEC
"864",MULTIPOINT(-59.3906490653271 -33.9076609182152),"06",Buenos Aires,Baradero,"06070040",Villa Alsina,Localidad simple,"1127",Villa Alsina (Est. Alsina),"060070",Baradero,"-33.907661","-59.390649","-33º54'28""","-59º23'26""",INDEC
"867",MULTIPOINT(-60.1086915850167 -34.0675149078578),"06",Buenos Aires,Arrecifes,"06077010",Arrecifes,Localidad simple,"0123",Arrecifes,"060077",Arrecifes,"-34.067515","-60.108692","-34º 4' 3""","-60º 6'31""",INDEC
"868",MULTIPOINT(-60.1552705427843 -34.0335541163485),"06",Buenos Aires,Arrecifes,"06077020",Todd,Localidad simple,"1389",Todd,"060077",Arrecifes,"-34.033554","-60.155271","-34º 2' 1""","-60º 9'19""",INDEC
"869",MULTIPOINT(-60.226418356914 -33.9923791495617),"06",Buenos Aires,Arrecifes,"06077030",Viña,Localidad simple,"2012",Viña,"060077",Arrecifes,"-33.992379","-60.226418","-33º59'33""","-60º13'35""",INDEC
"879",MULTIPOINT(-59.3911291370342 -37.6396606486406),"06",Buenos Aires,Benito Juárez,"06084010",Barker,Localidad simple,"0978",Barker,"060084",Benito Juárez,"-37.639661","-59.391129","-37º38'23""","-59º23'28""",INDEC
"880",MULTIPOINT(-59.8048051840714 -37.6742849744259),"06",Buenos Aires,Benito Juárez,"06084020",Benito Juárez,Localidad simple,"0191",Benito Juárez (Est. Juárez),"060084",Benito Juárez,"-37.674285","-59.804805","-37º40'27""","-59º48'17""",INDEC
"881",MULTIPOINT(-59.6277666192398 -37.5522803374568),"06",Buenos Aires,Benito Juárez,"06084030",López,Localidad simple,"2110",López,"060084",Benito Juárez,"-37.552280","-59.627767","-37º33' 8""","-59º37'40""",INDEC
"882",MULTIPOINT(-59.7602029255285 -37.3642718551926),"06",Buenos Aires,Benito Juárez,"06084040",Tedín Uriburu,Localidad simple,"2102",Tedín Uriburu,"060084",Benito Juárez,"-37.364272","-59.760203","-37º21'51""","-59º45'37""",INDEC
"883",MULTIPOINT(-59.396186471269 -37.6762254442231),"06",Buenos Aires,Benito Juárez,"06084050",Villa Cacique,Localidad simple,"0694",Villa Cacique (Est. Alfredo Fortabat),"060084",Benito Juárez,"-37.676225","-59.396186","-37º40'34""","-59º23'46""",INDEC
"890",MULTIPOINT(-58.2261431860465 -34.7697910449849),"06",Buenos Aires,Berazategui,"06091010",Berazategui,Componente de localidad compuesta,"0001",Gran Buenos Aires,"060091",Berazategui,"-34.769791","-58.226143","-34º46'11""","-58º13'34""",INDEC
"893",MULTIPOINT(-57.8886479258613 -34.8674606087199),"06",Buenos Aires,Berisso,"06098010",Berisso,Componente de localidad compuesta,"0005",Gran La Plata,"060098",Berisso,"-34.867461","-57.888648","-34º52' 3""","-57º53'19""",INDEC
"900",MULTIPOINT(-60.855489814834 -36.0020643354201),"06",Buenos Aires,Bolívar,"06105010",Hale,Localidad simple,"2055",Hale,"060105",Bolívar,"-36.002064","-60.855490","-36º 0' 7""","-60º51'20""",INDEC
"901",MULTIPOINT(-61.2540350435255 -36.3471482703942),"06",Buenos Aires,Bolívar,"06105020",Juan F. Ibarra,Localidad simple,"5065",Juan F. Ibarra,"060105",Bolívar,"-36.347148","-61.254035","-36º20'50""","-61º15'15""",INDEC
"902",MULTIPOINT(-61.0248313843972 -36.5035708180565),"06",Buenos Aires,Bolívar,"06105040",Paula,Localidad simple,"5066",Paula,"060105",Bolívar,"-36.503571","-61.024831","-36º30'13""","-61º 1'29""",INDEC
"903",MULTIPOINT(-61.5555189951424 -36.5101574870878),"06",Buenos Aires,Bolívar,"06105050",Pirovano,Localidad simple,"0838",Pirovano,"060105",Bolívar,"-36.510157","-61.555519","-36º30'37""","-61º33'20""",INDEC
"904",MULTIPOINT(-61.1139170844785 -36.2298792668243),"06",Buenos Aires,Bolívar,"06105060",San Carlos de Bolívar,Localidad simple,"0120",San Carlos de Bolívar (Est. Bolívar),"060105",Bolívar,"-36.229879","-61.113917","-36º13'48""","-61º 6'50""",INDEC
"905",MULTIPOINT(-61.420100225322 -36.4316190704842),"06",Buenos Aires,Bolívar,"06105070",Urdampilleta,Localidad simple,"0627",Urdampilleta,"060105",Bolívar,"-36.431619","-61.420100","-36º25'54""","-61º25'12""",INDEC
"906",MULTIPOINT(-61.3636659844575 -36.6015315731939),"06",Buenos Aires,Bolívar,"06105080",Villa Lynch Pueyrredón,Localidad simple,"5067",Villa Lynch Pueyrredón,"060105",Bolívar,"-36.601532","-61.363666","-36º36' 6""","-61º21'49""",INDEC
"930",MULTIPOINT(-60.4160602913341 -35.2255039447116),"06",Buenos Aires,Bragado,"06112005",Asamblea,Localidad simple,"5068",Asamblea,"060112",Bragado,"-35.225504","-60.416060","-35º13'32""","-60º24'58""",INDEC
"931",MULTIPOINT(-60.4896499896216 -35.115566278564),"06",Buenos Aires,Bragado,"06112010",Bragado,Localidad simple,"0085",Bragado,"060112",Bragado,"-35.115566","-60.489650","-35º 6'56""","-60º29'23""",INDEC
"932",MULTIPOINT(-60.5213798412284 -35.3225569754525),"06",Buenos Aires,Bragado,"06112020",Comodoro Py,Localidad simple,"1386",Comodoro Py,"060112",Bragado,"-35.322557","-60.521380","-35º19'21""","-60º31'17""",INDEC
"933",MULTIPOINT(-60.7605000810587 -34.9056096603392),"06",Buenos Aires,Bragado,"06112030",General O'Brien,Localidad simple,"0725",General O' Brien,"060112",Bragado,"-34.905610","-60.760500","-34º54'20""","-60º45'38""",INDEC
"934",MULTIPOINT(-60.6910217502228 -34.7702039328676),"06",Buenos Aires,Bragado,"06112040",Irala,Localidad simple,"2030",Irala,"060112",Bragado,"-34.770204","-60.691022","-34º46'13""","-60º41'28""",INDEC
"935",MULTIPOINT(-60.5911917698263 -35.0800960334474),"06",Buenos Aires,Bragado,"06112050",La Limpia,Localidad simple,"5016",La Limpia,"060112",Bragado,"-35.080096","-60.591192","-35º 4'48""","-60º35'28""",INDEC
"936",MULTIPOINT(-60.7047540548361 -35.0616154828316),"06",Buenos Aires,Bragado,"06112060",Juan F. Salaberry,Localidad simple,"5048",Juan F. Salaberry,"060112",Bragado,"-35.061615","-60.704754","-35º 3'42""","-60º42'17""",INDEC
"937",MULTIPOINT(-60.4118165706567 -35.0733790333491),"06",Buenos Aires,Bragado,"06112070",Mechita,Componente de localidad compuesta,"0781",Mechita,"060112",Bragado,"-35.073379","-60.411817","-35º 4'24""","-60º24'43""",INDEC
"938",MULTIPOINT(-60.6110729787317 -35.2373944024438),"06",Buenos Aires,Bragado,"06112080",Olascoaga,Localidad simple,"2135",Olascoaga,"060112",Bragado,"-35.237394","-60.611073","-35º14'15""","-60º36'40""",INDEC
"939",MULTIPOINT(-60.5389528273212 -34.9101336709228),"06",Buenos Aires,Bragado,"06112090",Warnes,Localidad simple,"2005",Warnes,"060112",Bragado,"-34.910134","-60.538953","-34º54'36""","-60º32'20""",INDEC
"948",MULTIPOINT(-58.1511580633093 -35.3610018403182),"06",Buenos Aires,Brandsen,"06119010",Altamirano,Localidad simple,"2068",Altamirano,"060119",Brandsen,"-35.361002","-58.151158","-35º21'40""","-58º 9' 4""",INDEC
"949",MULTIPOINT(-58.0484444796398 -35.3145356495898),"06",Buenos Aires,Brandsen,"06119015",Barrio El Mirador,Localidad simple,"8802",Barrio El Mirador,"060119",Brandsen,"-35.314536","-58.048444","-35º18'52""","-58º 2'54""",INDEC
"950",MULTIPOINT(-58.1305479447381 -35.0011083052829),"06",Buenos Aires,Brandsen,"06119020",Barrio Las Golondrinas,Localidad simple,"8002",Barrio Las Golondrinas,"060119",Brandsen,"-35.001108","-58.130548","-35º 0' 4""","-58º 7'50""",INDEC
"951",MULTIPOINT(-58.1848686650614 -35.1037753797213),"06",Buenos Aires,Brandsen,"06119030",Barrio Los Bosquecitos,Localidad simple,"8003",Barrio Los Bosquecitos,"060119",Brandsen,"-35.103775","-58.184869","-35º 6'14""","-58º11' 6""",INDEC
"952",MULTIPOINT(-58.2772547735395 -35.0985808592273),"06",Buenos Aires,Brandsen,"06119040",Barrio Parque Las Acacias,Localidad simple,"8004",Barrio Parque Las Acacias,"060119",Brandsen,"-35.098581","-58.277255","-35º 5'55""","-58º16'38""",INDEC
"953",MULTIPOINT(-58.0992685763769 -35.1169003355412),"06",Buenos Aires,Brandsen,"06119045",Campos de Roca,Localidad simple,"8800",Campos de Roca,"060119",Brandsen,"-35.116900","-58.099269","-35º 7' 1""","-58º 5'57""",INDEC
"954",MULTIPOINT(-58.2373302396352 -35.1679594138696),"06",Buenos Aires,Brandsen,"06119050",Coronel Brandsen,Localidad simple,"0196",Coronel Brandsen (Est. Brandsen),"060119",Brandsen,"-35.167959","-58.237330","-35º10' 5""","-58º14'14""",INDEC
"955",MULTIPOINT(-58.2416250597628 -35.2088016763536),"06",Buenos Aires,Brandsen,"06119055",Club de Campo Las Malvinas,Localidad simple,"8803",Club de Campo Las Malvinas,"060119",Brandsen,"-35.208802","-58.241625","-35º12'32""","-58º14'30""",INDEC
"956",MULTIPOINT(-58.1660395052276 -35.0675425417395),"06",Buenos Aires,Brandsen,"06119060",Gómez,Localidad simple,"2093",Gómez,"060119",Brandsen,"-35.067543","-58.166040","-35º 4' 3""","-58º 9'58""",INDEC
"957",MULTIPOINT(-58.1981445641191 -35.2777031071624),"06",Buenos Aires,Brandsen,"06119070",Jeppener,Localidad simple,"0951",Jeppener,"060119",Brandsen,"-35.277703","-58.198145","-35º16'40""","-58º11'53""",INDEC
"958",MULTIPOINT(-57.9490753520326 -35.1844808273675),"06",Buenos Aires,Brandsen,"06119080",Oliden,Localidad simple,"2125",Oliden,"060119",Brandsen,"-35.184481","-57.949075","-35º11' 4""","-57º56'57""",INDEC
"959",MULTIPOINT(-58.047345435888 -35.1493420075262),"06",Buenos Aires,Brandsen,"06119085",Posada de los Lagos,Localidad simple,"8801",Posada de Los Lagos,"060119",Brandsen,"-35.149342","-58.047345","-35º 8'58""","-58º 2'50""",INDEC
"960",MULTIPOINT(-58.2809920373285 -35.2194021738484),"06",Buenos Aires,Brandsen,"06119090",Samborombón,Localidad simple,"8005",Samborombón,"060119",Brandsen,"-35.219402","-58.280992","-35º13'10""","-58º16'52""",INDEC
"966",MULTIPOINT(-58.9847899100606 -34.3137795522174),"06",Buenos Aires,Campana,"06126010",Los Cardales,Componente de localidad compuesta,"0518",Los Cardales,"060126",Campana,"-34.313780","-58.984790","-34º18'50""","-58º59' 5""",INDEC
"967",MULTIPOINT(-58.9597435392037 -34.2525242125627),"06",Buenos Aires,Campana,"06126020",Barrio Los Pioneros (Barrio Tavella),Localidad simple,"5069",Barrio Los Pioneros,"060126",Campana,"-34.252524","-58.959744","-34º15' 9""","-58º57'35""",INDEC
"968",MULTIPOINT(-58.9592077502564 -34.1632540203125),"06",Buenos Aires,Campana,"06126030",Campana,Localidad simple,"0040",Campana,"060126",Campana,"-34.163254","-58.959208","-34º 9'48""","-58º57'33""",INDEC
"969",MULTIPOINT(-58.9115559228285 -34.2878024894572),"06",Buenos Aires,Campana,"06126035",Chacras del Río Luján,Componente de localidad compuesta,"2143",Chacras de Río Luján - Río Luján,"060126",Campana,"-34.287802","-58.911556","-34º17'16""","-58º54'42""",INDEC
"971",MULTIPOINT(-58.8976060079118 -34.2786409486538),"06",Buenos Aires,Campana,"06126040",Río Luján,Componente de localidad compuesta,"2143",Chacras de Río Luján - Río Luján,"060126",Campana,"-34.278641","-58.897606","-34º16'43""","-58º53'51""",INDEC
"976",MULTIPOINT(-58.674550927133 -34.9776113866355),"06",Buenos Aires,Cañuelas,"06134010",Alejandro Petión,Localidad simple,"1322",Alejandro Petión,"060134",Cañuelas,"-34.977611","-58.674551","-34º58'39""","-58º40'28""",INDEC
"977",MULTIPOINT(-58.8653096492075 -35.0714515385233),"06",Buenos Aires,Cañuelas,"06134020",Barrio El Taladro,Localidad simple,"2130",Barrio El Taladro,"060134",Cañuelas,"-35.071452","-58.865310","-35º 4'17""","-58º51'55""",INDEC
"978",MULTIPOINT(-58.7619911867149 -35.0538388296572),"06",Buenos Aires,Cañuelas,"06134030",Cañuelas,Localidad simple,"0143",Cañuelas,"060134",Cañuelas,"-35.053839","-58.761991","-35º 3'14""","-58º45'43""",INDEC
"979",MULTIPOINT(-58.5959794169719 -35.3026726729038),"06",Buenos Aires,Cañuelas,"06134040",Gobernador Udaondo,Localidad simple,"2092",Gobernador Udaondo,"060134",Cañuelas,"-35.302673","-58.595979","-35º18'10""","-58º35'46""",INDEC
"980",MULTIPOINT(-58.618873605423 -34.9368694441758),"06",Buenos Aires,Cañuelas,"06134050",Máximo Paz,Componente de localidad compuesta,"0001",Gran Buenos Aires,"060134",Cañuelas,"-34.936869","-58.618874","-34º56'13""","-58º37' 8""",INDEC
"981",MULTIPOINT(-58.7287624590067 -34.9608453849923),"06",Buenos Aires,Cañuelas,"06134060",Santa Rosa,Localidad simple,"0895",Santa Rosa,"060134",Cañuelas,"-34.960845","-58.728762","-34º57'39""","-58º43'44""",INDEC
"982",MULTIPOINT(-58.8920364419093 -35.123830510974),"06",Buenos Aires,Cañuelas,"06134070",Uribelarrea,Localidad simple,"1265",Uribelarrea,"060134",Cañuelas,"-35.123831","-58.892036","-35º 7'26""","-58º53'31""",INDEC
"983",MULTIPOINT(-58.6518407731212 -34.9655362562693),"06",Buenos Aires,Cañuelas,"06134080",Vicente Casares,Localidad simple,"1443",Vicente Casares,"060134",Cañuelas,"-34.965536","-58.651841","-34º57'56""","-58º39' 7""",INDEC
"992",MULTIPOINT(-59.7935986802151 -34.1712798488744),"06",Buenos Aires,Capitán Sarmiento,"06140010",Capitán Sarmiento,Localidad simple,"0242",Capitán Sarmiento,"060140",Capitán Sarmiento,"-34.171280","-59.793599","-34º10'17""","-59º47'37""",INDEC
"993",MULTIPOINT(-59.9264182117769 -34.1295652785123),"06",Buenos Aires,Capitán Sarmiento,"06140020",La Luisa,Localidad simple,"2081",La Luisa,"060140",Capitán Sarmiento,"-34.129565","-59.926418","-34º 7'46""","-59º55'35""",INDEC
"997",MULTIPOINT(-61.5341134960867 -35.9166167731588),"06",Buenos Aires,Carlos Casares,"06147010",Bellocq,Localidad simple,"2004",Bellocq,"060147",Carlos Casares,"-35.916617","-61.534113","-35º54'60""","-61º32' 3""",INDEC
"998",MULTIPOINT(-61.3357772405074 -35.7715500957092),"06",Buenos Aires,Carlos Casares,"06147020",Cadret,Localidad simple,"2088",Cadret,"060147",Carlos Casares,"-35.771550","-61.335777","-35º46'18""","-61º20' 9""",INDEC
"999",MULTIPOINT(-61.3654951307361 -35.6224737481197),"06",Buenos Aires,Carlos Casares,"06147030",Carlos Casares,Localidad simple,"0175",Carlos Casares,"060147",Carlos Casares,"-35.622474","-61.365495","-35º37'21""","-61º21'56""",INDEC
"1000",MULTIPOINT(-61.437092533341 -35.5244413278434),"06",Buenos Aires,Carlos Casares,"06147040",Colonia Mauricio,Localidad simple,"5060",Colonia Mauricio,"060147",Carlos Casares,"-35.524441","-61.437093","-35º31'28""","-61º26'14""",INDEC
"1001",MULTIPOINT(-61.2628507762325 -35.9242331792084),"06",Buenos Aires,Carlos Casares,"06147050",Hortensia,Localidad simple,"2089",Hortensia,"060147",Carlos Casares,"-35.924233","-61.262851","-35º55'27""","-61º15'46""",INDEC
"1002",MULTIPOINT(-61.1694384949499 -35.6993607609288),"06",Buenos Aires,Carlos Casares,"06147060",La Sofía,Localidad simple,"5035",La Sofía,"060147",Carlos Casares,"-35.699361","-61.169438","-35º41'58""","-61º10'10""",INDEC
"1003",MULTIPOINT(-61.5268355548562 -35.5815738030148),"06",Buenos Aires,Carlos Casares,"06147070",Mauricio Hirsch,Localidad simple,"5017",Mauricio Hirsch,"060147",Carlos Casares,"-35.581574","-61.526836","-35º34'54""","-61º31'37""",INDEC
